Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Code,Region,RegionArea,RegionAreaOrder,RegionIdentifier,RegionIdentifierType,Country,MeetingType,MeetingTypeNamespace,ScrapedDetails
e324e510-415b-5120-b976-0ac42e7f5ca5,Bath On Awakening Online,07:30,1hr,,0,0,Https://Us02web.Zoom.Us/J/82451216785?Pwd=Dezztc9edwnicjvlt0zddvjib3h1qt09 Meeting ID: 82451216785 Passcode:  445526,Https://Us02web.Zoom.Us/J/82451216785?Pwd=Dezztc9edwnicjvlt0zddvjib3h1qt09meeting ID: 82451216785 Passcode:  445526,prosecuted.amplification.showings,Monday,False,False,False,False,,,,14094,Wiltshire and Bath,South Midlands,1,11,Intergroup,England,Alcoholics Anonymous,AA,True
a5224dde-32d7-5115-ae6b-c23810de42f0,Bath On Awakening Online,07:30,1hr,,0,0,Https://Us02web.Zoom.Us/J/82451216785?Pwd=Dezztc9edwnicjvlt0zddvjib3h1qt09 Passcode 445526,Https://Us02web.Zoom.Us/J/82451216785?Pwd=Dezztc9edwnicjvlt0zddvjib3h1qt09 Passcode 445526,prosecuted.amplification.showings,Friday,False,False,False,False,,,,17676,Wiltshire and Bath,South Midlands,1,11,Intergroup,England,Alcoholics Anonymous,AA,True
a43e3295-6889-508c-9ff6-f07a76e174aa,Belfast Ireland Dublin,,,,53.7797554,-7.3055309,This Website Does Not List AA Groups In Ireland. For Details Of Irish Meetings,Please Visit:Http://Www.Alcoholicsanonymous.Ie/,lightening.outlined.adventurer,Sunday,False,False,False,False,,,,13877,,,0,,,England,Alcoholics Anonymous,AA,True
7fb6b588-e6db-54f0-8b2c-4f868aa1856e,Berlin Trans /Nonbinary/Inter Online Only,,,,52.5200066,13.404954,Zoom Link (Created 30 Min Before Meeting Starts). Password By Contact. Https://Www.Alcoholics-Anonymous-Berlin.De/Meetings/Trans-Non-Binary-Inter-Aa-Meeting,Zoom Link (Created 30 Min Before Meeting Starts). Password By Contact. Https://Www.Alcoholics-Anonymous-Berlin.De/Meetings/Trans-Non-Binary-Inter-Aa-Meeting,wharfs.straws.proceeds,Monday,False,False,False,False,,,LGBTQI+Non-BinaryTransgender,15361,,,0,,,England,Alcoholics Anonymous,AA,True
64b4ace9-47b9-52d3-9744-31330b7aef38,Bethnal Green Newcomers Step And Tradition,,,E2 6JL,51.5243,-0.058889,The Good Shepherd Mission,17 Three Colts Ln,tame.launch.fruit,Monday,False,True,False,True,All mtgs 'open'.,,,11252,East London,London (North),7,36,Intergroup,England,Alcoholics Anonymous,AA,True
53c8d429-04f8-5fc8-aafb-c39dc94b6d26,Brentwood Pilgrims Hatch,,,CM15 9RD,51.639089,0.280237,Pilgrims Hatch Parish Hall,Orchard Lane/Ongar Rd,blocks.slip.hello,Sunday,False,True,False,True,All mtgs 'open'.,,,8191,North Thames,Eastern,2,37,Intergroup,England,Alcoholics Anonymous,AA,True
ebc3a825-55df-5e86-ad6d-6e3b736873dd,Clydebank As Bill Sees It,,,G81 1BL,55.90173,-4.405902,New Beginning Rooms,45B Kilbowie Rd,needed.spring.shovels,Monday,False,True,False,True,All mtgs 'open'.,,,17531,Glasgow North West,Glasgow,14,97,Intergroup,Scotland,Alcoholics Anonymous,AA,True
35bc3f3d-7ab6-58d5-982d-285ef7d0b160,Crawley Morning,,,RH11 0NB,51.127067,-0.210486,Quaker Meeting Hall,"Langley Lane,Ifield Green (Off Rusper Rd)",clay.late.riders,Saturday,False,True,False,True,All mtgs 'open'.,,,9836,West Sussex,South East,6,76,Intergroup,England,Alcoholics Anonymous,AA,True
ce515746-8f68-5bb7-b0c6-fdfccfe5ad27,Govan,,,G51 2AJ,55.860857,-4.303557,Riverside Hall,"29-31 Clydebrae St,Govan",deals.learns.below,Sunday,False,True,True,True,All mtgs 'open'.,,Chit system available.,10682,Glasgow South,Glasgow,14,102,Intergroup,Scotland,Alcoholics Anonymous,AA,True
369e8a80-2676-5ebc-9a07-22e9b2895b83,Henley Women's Reflection,,,RG9 6HH,51.606399,-0.964403,The Crown Inn,Pishill,recording.enabling.parked,Sunday,False,False,False,False,,,,18101,Chiltern and Thames,South Midlands,1,10,Intergroup,England,Alcoholics Anonymous,AA,True
