Type,Country,Total,LastUpdated
AA,England,3476,2024-04-21
AA,Scotland,633,2024-04-21
AA,Wales,145,2024-04-21
AA,Northern Ireland,182,2024-04-21
AA,Republic of Ireland,678,2024-04-21
CA,England,633,2024-04-21
CA,Scotland,143,2024-04-21
CA,Wales,21,2024-04-21
CA,Northern Ireland,0,2024-04-21
CA,Republic of Ireland,0,2024-04-21
NA,England,970,2024-04-21
NA,Scotland,71,2024-04-21
NA,Wales,18,2024-04-21
NA,Northern Ireland,16,2024-04-21
NA,Republic of Ireland,225,2024-04-21
OA,England,62,2024-04-21
OA,Scotland,16,2024-04-21
OA,Wales,6,2024-04-21
OA,Northern Ireland,1,2024-04-21
OA,Republic of Ireland,27,2024-04-21
