Name,Area,Country,Latitude,Longitude,Zoom,Boundary
Bournemouth District,South West,England,50.7461661,-1.827507019,13,"[-1.860811,50.720613],[-1.754804,50.729332],[-1.750507,50.740869],[-1.841393,50.830603],[-1.903857,50.771195],[-1.903843,50.722419],[-1.860811,50.720613]"
Cornwall,South West,England,50.47289459,-4.9476215,9,"[-5.27441,50.101134],[-5.017187,50.157675],[-4.366605,50.361761],[-4.238867,50.413658],[-4.358868,50.630632],[-4.55018,50.828376],[-5.683177,50.122981],[-5.550621,50.105673],[-5.27441,50.101134]"
Devon Central,South West,England,50.89725735,-3.605298,9,"[-3.411279,50.619169],[-3.072145,50.705682],[-2.996463,50.783395],[-4.117864,51.210748],[-4.214022,51.040516],[-4.206073,51.017921],[-4.002015,50.738116],[-3.411279,50.619169]"
Plymouth,South West,England,50.38200705,-4.147725105,14,"[-4.142855,50.367774],[-4.140121,50.368],[-3.972942,50.384457],[-4.146647,50.548781],[-4.146831,50.547851],[-4.168034,50.379067],[-4.142855,50.367774]"
Poole and District,South West,England,50.75155586,-1.9477895,12,"[-1.930568,50.698211],[-1.905376,50.72786],[-1.898324,50.80484],[-1.988709,50.80135],[-1.997255,50.753519],[-1.983319,50.713752],[-1.930568,50.698211]"
Somerset,South West,England,51.18070476,-2.9671435,9,"[-2.963221,50.87283],[-2.79436,50.882896],[-2.624297,50.944037],[-2.452746,51.111804],[-2.482407,51.286193],[-2.717555,51.328284],[-2.974542,51.347141],[-2.978346,51.347092],[-3.481541,51.206087],[-3.228345,50.979593],[-2.963221,50.87283]"
South Devon,South West,England,50.44010043,-3.6380595,10,"[-3.777572,50.286344],[-3.57233,50.433591],[-3.568926,50.436177],[-3.517523,50.477034],[-3.4692,50.580326],[-3.675081,50.593359],[-3.75492,50.515027],[-3.777572,50.286344]"
West Dorset,South West,England,50.83278386,-2.447339,10,"[-1.962469,50.607857],[-2.197217,51.006554],[-2.27268,51.036335],[-2.407705,51.056632],[-2.93194,50.72524],[-2.464182,50.611956],[-1.962469,50.607857]"
Bristol and District,South Midlands,England,51.46905909,-2.64169693,12,"[-2.545108,51.410337],[-2.494984,51.438182],[-2.468403,51.456965],[-2.405205,51.540023],[-2.526293,51.608328],[-2.85776,51.43946],[-2.743521,51.412436],[-2.545108,51.410337]"
Chiltern and Thames,South Midlands,England,51.64100399,-0.735546,11,"[-0.585134,51.464162],[-0.506689,51.501974],[-0.542837,51.61953],[-0.61389,51.704914],[-0.785616,51.805316],[-0.840246,51.817159],[-0.866387,51.805716],[-0.964403,51.606399],[-0.642421,51.477545],[-0.585134,51.464162]"
Severn,South Midlands,England,51.85148312,-2.274856567,10,"[-2.158028,51.636393],[-1.69294,51.695189],[-1.691305,51.697473],[-1.724227,51.929635],[-1.943862,52.091813],[-2.254723,52.193431],[-2.426731,52.034088],[-2.61913,51.792699],[-2.549204,51.716684],[-2.458665,51.691115],[-2.158028,51.636393]"
South Midlands,South Midlands,England,51.82825145,-1.3416875,10,"[-1.417887,51.589022],[-1.229258,51.604264],[-0.981685,51.747789],[-0.988738,51.994614],[-1.146363,52.029525],[-1.339541,52.060139],[-1.647506,52.088274],[-1.70169,51.990187],[-1.646942,51.779343],[-1.631885,51.739718],[-1.58823,51.655811],[-1.417887,51.589022]"
Thames Valley,South Midlands,England,51.47517336,-1.0636525,11,"[-0.805356,51.348331],[-0.650401,51.408039],[-0.903638,51.535604],[-1.124602,51.601664],[-1.476904,51.488838],[-1.324811,51.395033],[-0.805356,51.348331]"
Wiltshire and Bath,South Midlands,England,51.40565213,-2.093582153,10,"[-2.080008,51.064906],[-1.798819,51.068999],[-1.513756,51.417387],[-1.705284,51.636769],[-2.096997,51.583815],[-2.497313,51.416833],[-2.49822,51.415633],[-2.47717,51.328742],[-2.080008,51.064906]"
East Herts or West Essex,Eastern,England,51.76253242,0.030461,11,"[0.05668,51.649588],[0.114715,51.70501],[0.13293,51.756532],[0.151807,51.811285],[0.17325,51.875195],[0.136152,51.874804],[-0.112328,51.854037],[-0.057891,51.706075],[-0.032986,51.689028],[0.05668,51.649588]"
Essex,Eastern,England,51.73000393,0.701065063,10,"[0.325883,51.479439],[0.784481,51.542211],[1.153147,51.797093],[0.876375,51.929853],[0.638435,51.945664],[0.360906,51.872001],[0.325883,51.479439]"
