Type,Country,Total,LastUpdated
AA,England,3463,2026-08-05
AA,Scotland,594,2026-08-05
AA,Wales,89,2026-08-05
AA,Northern Ireland,315,2026-08-05
AA,Republic of Ireland,1369,2026-08-05
CA,England,706,2026-08-05
CA,Scotland,154,2026-08-05
CA,Wales,31,2026-08-05
CA,Northern Ireland,0,2026-08-05
CA,Republic of Ireland,0,2026-08-05
NA,England,1154,2026-08-05
NA,Scotland,107,2026-08-05
NA,Wales,29,2026-08-05
NA,Northern Ireland,25,2026-08-05
NA,Republic of Ireland,104,2026-08-05
OA,England,0,2026-08-05
OA,Scotland,0,2026-08-05
OA,Wales,0,2026-08-05
OA,Northern Ireland,0,2026-08-05
OA,Republic of Ireland,0,2026-08-05
