Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Code,Region,RegionArea,RegionAreaOrder,RegionIdentifier,RegionIdentifierType,Country,MeetingType,MeetingTypeNamespace,ScrapedDetails
a43e3295-6889-508c-9ff6-f07a76e174aa,Belfast Ireland Dublin,,,,53.7797554,-7.3055309,This Website Does Not List AA Groups In Ireland. For Details Of Irish Meetings,Please Visit:Http://Www.Alcoholicsanonymous.Ie/,lightening.outlined.adventurer,Sunday,False,False,False,False,,,,13877,,,0,,,England,Alcoholics Anonymous,AA,True
7fb6b588-e6db-54f0-8b2c-4f868aa1856e,Berlin Trans /Nonbinary/Inter Online Only,,,,52.5200066,13.404954,Zoom Link (Created 30 Min Before Meeting Starts). Password By Contact. Https://Www.Alcoholics-Anonymous-Berlin.De/Meetings/Trans-Non-Binary-Inter-Aa-Meeting,Zoom Link (Created 30 Min Before Meeting Starts). Password By Contact. Https://Www.Alcoholics-Anonymous-Berlin.De/Meetings/Trans-Non-Binary-Inter-Aa-Meeting,wharfs.straws.proceeds,Monday,False,False,False,False,,,LGBTQI+Non-BinaryTransgender,15361,,,0,,,England,Alcoholics Anonymous,AA,True
4ddeed94-a096-58cf-b5d9-0551b9cd1952,Bow Newcomers,,,E2 6JL,51.5243,-0.058889,The Good Shepherd Mission,17 Three Colts Ln,tame.launch.fruit,Monday,False,True,False,True,All mtgs 'open'.,,,11252,East London,London (North),7,36,Intergroup,England,Alcoholics Anonymous,AA,True
53c8d429-04f8-5fc8-aafb-c39dc94b6d26,Brentwood Pilgrims Hatch,,,CM15 9RD,51.639089,0.280237,Pilgrims Hatch Parish Hall,Orchard Lane/Ongar Rd,blocks.slip.hello,Sunday,False,True,False,True,All mtgs 'open'.,,,8191,North Thames,Eastern,2,37,Intergroup,England,Alcoholics Anonymous,AA,True
35a99787-8e78-5a90-8a79-122ef942b39b,Castletown As Bill Sees It,17:00,1hr,IM0 1EB,0,0,St Marys RC Church,24 Bowling Green Rd,prosecuted.amplification.showings,Saturday,False,True,False,False,,,,17518,Liverpool City,North West,4,52,Intergroup,England,Alcoholics Anonymous,AA,True
ebc3a825-55df-5e86-ad6d-6e3b736873dd,Clydebank As Bill Sees It,,,G81 1BL,55.90173,-4.405902,New Beginning Rooms,45B Kilbowie Rd,needed.spring.shovels,Monday,False,True,False,True,All mtgs 'open'.,,,17531,Glasgow North West,Glasgow,14,97,Intergroup,Scotland,Alcoholics Anonymous,AA,True
35bc3f3d-7ab6-58d5-982d-285ef7d0b160,Crawley Morning,,,RH11 0NB,51.127067,-0.210486,Quaker Meeting Hall,"Langley Lane,Ifield Green (Off Rusper Rd)",clay.late.riders,Saturday,False,True,False,True,All mtgs 'open'.,,,9836,West Sussex,South East,6,76,Intergroup,England,Alcoholics Anonymous,AA,True
b142afe2-f241-5ceb-8c2e-ac7b7c8fb3eb,Elgin Dr Grays,18:00,1hr 30mins,,0,0,Room 3,"Dunbarney House,Dr Gray's Hospital",prosecuted.amplification.showings,Tuesday,False,True,False,False,,,,10955,Moray and District,Highland and Islands,12,109,Intergroup,Scotland,Alcoholics Anonymous,AA,True
ce515746-8f68-5bb7-b0c6-fdfccfe5ad27,Govan,,,G51 2AJ,55.860857,-4.303557,Riverside Hall,"29-31 Clydebrae St,Govan",deals.learns.below,Sunday,False,True,True,True,All mtgs 'open'.,,Chit system available.,10682,Glasgow South,Glasgow,14,102,Intergroup,Scotland,Alcoholics Anonymous,AA,True
84d0eaa3-6e69-5c6b-bd1c-5effcf29ec54,International Biarritz Online Group,15:30,1hr CET (Paris time),,0,0,Zoom ID: 852 2110 0505 Password: 1Forall,Zoom ID: 852 2110 0505 Password: 1Forall,prosecuted.amplification.showings,Thursday,False,False,False,False,,,Speaker Discussion Meeting.  Zoom Link: https://us02web.zoom.us/j/85221100505?pwd=TGszTWV3SXFxVGtkRzZnbzlLQklPdz09,14906,,,0,,,England,Alcoholics Anonymous,AA,True
f67b08c8-cb4a-5f76-98d0-611b2d6c6404,International Biarritz Online Group,15:30,1hr CET (Paris time),,0,0,Zoom ID: 852 2110 0505 Password: 1Forall,Zoom ID: 852 2110 0505 Password: 1Forall,prosecuted.amplification.showings,Saturday,False,False,False,False,,,Speaker / Discussion Meeting. Zoom Link: https://us02web.zoom.us/j/85221100505?pwd=TGszTWV3SXFxVGtkRzZnbzlLQklPdz09,14907,,,0,,,England,Alcoholics Anonymous,AA,True
61cffdea-6ee9-560b-920f-70ba152a4305,Inverkeithing,,,KY11 1LW,56.029211,-3.399488,Saint Peter In Chains,28 Hope St,overhear.ended.example,Thursday,False,True,False,True,1st Thur each mnth 'open'.,,,16793,Fife,East of Scotland,11,100,Intergroup,Scotland,Alcoholics Anonymous,AA,True
