Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Code,Region,RegionArea,RegionAreaOrder,RegionIdentifier,RegionIdentifierType,Country,MeetingType,MeetingTypeNamespace,ScrapedDetails
3a51ba30-35da-56bc-be31-a13a477be308,Alcudia,20:30,,07 400,53.0832717,21.5718075,Iglesia De Sant Jaume (Opposite House),Pla�A Jaume Ques 1.,happy.buck.sympathy,Tuesday,False,False,False,True,All meetings 'open'.,,Meeting held in front of St Jaime Church.,14437,,,0,,,England,Alcoholics Anonymous,AA,True
e5a9a432-514a-5a0e-94eb-b489248f1dc4,Antalya English Speaking,19:30,1 hr,07 100,7.0065385,100.0051415,St Paul Cultural Center. Kilinçarslan,Yeni Kapi Sokak.,unsecured.combative.mugs,Wednesday,False,False,False,False,,,,16822,,,0,,,England,Alcoholics Anonymous,AA,True
d82bfc95-27f2-533c-94b8-94b3574a49a8,Assisi City Of Peace Book Study,10:30,1hr,06 039,6.0000749,38.9923115,Via San Francesca 13,Assisi.,leggings.distant.offhand,Friday,False,True,False,False,,,"Meeting is held in a private room, the first door on the right just after the caf� entrance.",16548,,,0,,,England,Alcoholics Anonymous,AA,True
e7bcfc84-652a-5973-978f-fffaf6b315ab,Belgium Liege International,11:00,,4020,51.4928827,-0.2545001,The Old Cinema,"La Centrale,Place Andr�A Jadoule 11.",noble.flops.frames,Saturday,False,False,False,True,Open hybrid meeting.,,,14106,,,0,,,England,Alcoholics Anonymous,AA,True
636d2907-6302-5ad0-afd5-b5b3af9760e4,Breda International,09:00,1 hr,481 2AB,51.5916601,4.7678078,Tramsingel 23,"A3,4814 AB Breda",acrobat.referral.flamed,Sunday,False,True,False,False,,,,16670,,,0,,,Scotland,Alcoholics Anonymous,AA,True
a8dad5cc-d9fb-5748-aa34-3ea0cb4b30b5,Calvia,07:30,,07 181,39.5025366,2.5276555,Casa De Cultura,"Puig De Sa Mola,3,Magaluf,Calvia - Suspended Until Further Notice.",poser.retrain.emigrated,Friday,False,True,False,True,All mtgs 'open'.,,Meeting suspended.,12211,,,0,,,England,Alcoholics Anonymous,AA,True
4619fca6-db9b-5bfe-bbe6-7348ab6b0140,Canary Islands Fuertaventura Corralejo,10:30,,35 660,28.7281552,-13.8633524,Catholic Church Meeting Room,"Iglesia Nuestra Senora Del Carmen (Church Of Our Lady Of Carmen),Calle Bajo Blanco 8 At The Junction With Plaza La Inglesia,Corralejo.",situated.gargled.canyons,Friday,False,True,False,True,'Open' meeting on request.,,,13702,,,0,,,England,Alcoholics Anonymous,AA,True
2ea5d56e-532d-5d30-b0c0-56b7ff1b7c29,Estepona Newcomers - Living Sober,19:30,1 hr,29 680,0,0,New American Club,69 Calle San Roque,prosecuted.amplification.showings,Tuesday,False,False,False,False,,,,16916,,,0,,,England,Alcoholics Anonymous,AA,True
5698a6e3-5e8f-5a88-a67d-14f7cab70632,Fethiye Originals,10:00,1hr,48 300,50.4815651,17.3060088,No. 5 Gulkanat Apartment,"1050 Sokak,Fo�A Mah,(Near �Alis)",madness.fenced.havens,Wednesday,False,True,False,True,'Open' on request.,,,15995,,,0,,,England,Alcoholics Anonymous,AA,True
4f014ce1-f086-57b3-acd6-c0e3002fb1f3,Fethiye: English Speaking Literature Study Group,11:00,,48 300,50.4815651,17.3060088,No. 5 Gulkanat Apartment,"1050 Sokak,Fo�A Mah,(Near �Alis)",madness.fenced.havens,Tuesday,False,False,False,False,,,Fethiye Halk Kilisesi (FHK) is down the alleyway 100m to the left of Pasa Kebab restaurant.,12253,,,0,,,England,Alcoholics Anonymous,AA,True
80f3300e-6068-5f72-984f-c653e80a38cf,Fuengirola,12:00,1hr,20 640,36.7418089,-4.0994423,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,terrain.rebellion.strapless,Sunday,False,True,False,False,,,,16513,,,0,,,England,Alcoholics Anonymous,AA,True
fea8b660-af18-5734-afa2-4e6d87e0750f,Fuengirola As Bill Sees It,12:00,1hr,20 640,36.7418089,-4.0994423,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,terrain.rebellion.strapless,Tuesday,False,True,False,False,,,,12132,,,0,,,England,Alcoholics Anonymous,AA,True
cd1e25de-0a12-5203-90df-8b49db71df1e,Fuengirola Daily Reflections,12:00,1hr,20 640,36.7418089,-4.0994423,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,terrain.rebellion.strapless,Friday,False,True,False,False,,,,12134,,,0,,,England,Alcoholics Anonymous,AA,True
c41e3bbb-7001-5433-8da6-9ca0d7b97596,Fuengirola Newcomers (Living Sober),12:00,1hr,20 640,36.7418089,-4.0994423,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,terrain.rebellion.strapless,Monday,False,True,False,True,All mtgs 'open'.,,,12131,,,0,,,England,Alcoholics Anonymous,AA,True
572ee381-e3fa-54dc-a49d-bac3f7786e09,Fuengirola Speaker/Share,12:00,1hr,20 640,36.7418089,-4.0994423,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,terrain.rebellion.strapless,Thursday,False,True,False,False,,,,12136,,,0,,,England,Alcoholics Anonymous,AA,True
8c0f9539-73b2-5ec6-ba21-ef1306ea8f1e,Fuengirola Steps,20:00,1hr,20 640,36.7418089,-4.0994423,Lux Mundi Centro Ecumenico  Calle Nueva 3 (Door 7 At Weekends,Evenings And Fiestas).,terrain.rebellion.strapless,Wednesday,False,True,False,False,,,,12133,,,0,,,England,Alcoholics Anonymous,AA,True
d7f1b08b-921c-5bd9-b7df-a1ef2cb7bc57,Hungary Budapest Big Book,18:00,,1092,47.4847127,19.0676595,Unitarian Church,"H�Gyes Endre Utca 3,9Th Distri.",totals.loans.shaped,Sunday,False,False,False,True,All meetings 'open'.,,No.3 is almost at the end of the block on left. AA sign on door. Press button No. 5 to get into courtyard door. Once in meeting room is 5th door right,13697,,,0,,,England,Alcoholics Anonymous,AA,True
dd9ac862-253a-5df7-bae7-a26859612fe3,Malaga Peña Flamenca Del Sur,19:00,,29 649,36.5437692,-4.6372866,Calle Butiplaya 1,"29649 Las Lagunas De Mijas,M�Laga.",october.bucks.bottle,Tuesday,False,False,False,False,,,"Opposite la Cala park , around the corner from la Cala post office in restaurant next to bar.",16065,,,0,,,England,Alcoholics Anonymous,AA,True
241400bb-bde9-5a00-a52a-4db80a2c5ba8,Malaga Peña Flamenca Del Sur,19:00,,29 649,36.5437692,-4.6372866,Calle Butiplaya 1,"29649 Las Lagunas De Mijas,M�Laga.",imaginable.lonely.aspiring,Thursday,False,False,False,False,,,"Opposite la Cala park , around the corner from la Cala post office in restaurant next to bar.",16066,,,0,,,England,Alcoholics Anonymous,AA,True
3ace7355-ee8e-5895-ba29-c1d49497e936,Malmo International,17:30,,21 421,51.8836892,22.2167599,Kapellgatan 6,Kapellgatan 6.,onlookers.rehiring.stutters,Friday,False,True,False,True,All meetings 'open'.,,Doors open from 17.15. If the door is closed on late arrival please phone the number given on the door to gain entry. In person with max of 8 people.,12847,,,0,,,England,Alcoholics Anonymous,AA,True
fd2d3412-abac-501b-b734-274d9bd91fb7,Morzine Serenity (International),18:00,1 hr,74 110,72.2697171,109.9898815,Eglise Sainte Marie Madelaine De Morzine,2 Pl. De L'�Glise.,infiltrate.belt.coursed,Wednesday,False,False,False,False,,,"To the right, rear of the church between the Church and School. Meeting room in School cafeteria.",16672,,,0,,,England,Alcoholics Anonymous,AA,True
5a7b634c-fdfb-5c7d-a3f1-1d21d830319c,Palma International,19:00,,07 014,7.0598376,13.7289167,Anglican Church,"Carrer Nunez De Balboa 6,Palma De Mallorca.",respite.wildlife.redirect,Monday,False,False,False,True,'Open' meeting. Al-Anon welcome.,,,12215,,,0,,,England,Alcoholics Anonymous,AA,True
23073867-7b70-50cb-a3b5-50363b4999ba,Palma International,11:00,,07 014,7.0598376,13.7289167,Anglican Church,"Carrer Nunez De Balboa 6,Palma De Mallorca.",respite.wildlife.redirect,Saturday,False,False,False,False,,,,12865,,,0,,,England,Alcoholics Anonymous,AA,True
16a59eac-a06b-5b92-9064-a6ed33044050,Paphos,19:30,,8046,47.4228755,8.5147336,Paphos Christian Fellowship International (PCFI),"12 Adamantiou Korai Street,Kato.",wagers.bedrooms.crawled,Monday,False,True,False,False,,,,14577,,,0,,,England,Alcoholics Anonymous,AA,True
39a4fe9c-4473-5405-ac70-6ef3a587c1d8,Paris Arrested Development,17:30,,75 008,48.8668268,2.3076032,Scots Kirk Paris,17 Rue Bayard.,target.rent.shopping,Saturday,False,False,False,False,,,,16512,,,0,,,England,Alcoholics Anonymous,AA,True
9aaa8ca9-0fcd-5101-ae78-ec1e8f93b99a,Portugal Portimao As Bill Sees It,19:30,,8500-831,37.1264103,-8.5581698,Rua Salgueiros Lote 18 R/C B,"Beco Das Hort�Nsias 30,Vale Franca (Potimao).",ships.fussed.sparks,Friday,False,True,False,True,Last Fri each month 'open'.,,,12098,,,0,,,England,Alcoholics Anonymous,AA,True
3ec20a30-d5ac-52dd-8876-d7eb12a78524,Portugal Portimao Steps & Traditions,19:30,,8500-831,37.1264103,-8.5581698,Rua Salgueiros Lote 18 R/C B,"Beco Das Hort�Nsias 30,Vale Franca (Potimao).",ships.fussed.sparks,Monday,False,True,False,True,3rd Mon each month 'open'.,,,12097,,,0,,,England,Alcoholics Anonymous,AA,True
a5d4fbd2-1eb0-5c5f-b95c-addd22c39762,Prague The Keys Of The Kingdom,17:30,,11 000,11.0000465,0.0002808,Klimentska 18 A,Petrska Ctvrt.,peppers.treasures.plunging,Monday,False,True,False,False,,,Please press the buzzer,14544,,,0,,,England,Alcoholics Anonymous,AA,True
d466e4c3-569f-5cf5-acdf-9af07e224449,Puerto Pollenca,18:00,,07 470,0,0,Nuestra Senora De Los Angeles,Carrer Del Colomer5.,prosecuted.amplification.showings,Friday,False,False,False,True,All meetings 'open'.,,,14442,,,0,,,England,Alcoholics Anonymous,AA,True
6dfafa1b-fd33-5877-b1af-ba4aa1050279,St Tropez Big Book,20:00,,38 990,43.2708748,6.6411283,69 Rue Gambetta,St Tropez 83990 (Opposite Pan Dei Hotel In Court Yard).  MEETING RUNS MID MAY TO MID SEPTEMBER,roving.voter.parks,Monday,False,True,False,True,All mtgs 'open'.,,Opposite Pan Dei hotel in court yard.,11898,,,0,,,England,Alcoholics Anonymous,AA,True
a1ce1f5a-e74e-5c8a-a124-35aeb7e2b200,Stuttgart: Serenity Seekers,20:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",invest.airless.format,Tuesday,False,False,False,False,,,,11973,,,0,,,England,Alcoholics Anonymous,AA,True
23d44e87-25ae-5fcc-9d33-87964ad52ff8,Stuttgart: Serenity Seekers,20:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",invest.airless.format,Friday,False,False,False,True,1st Fri each month 'open'.,,,11974,,,0,,,England,Alcoholics Anonymous,AA,True
df78cbeb-ad90-5641-a6b9-0ab2eedf5544,Stuttgart: Serenity Seekers,20:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",invest.airless.format,Saturday,False,False,False,True,All meetings 'open'.,,,11975,,,0,,,England,Alcoholics Anonymous,AA,True
86dfa7de-6eda-5106-a8b9-a8295e18caa1,Stuttgart: Serenity Seekers,16:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",invest.airless.format,Sunday,False,False,False,True,All meetings 'open'.,,,11976,,,0,,,England,Alcoholics Anonymous,AA,True
81d1b799-efd2-5045-8854-f42eb1995db9,Stuttgart: Serenity Seekers,20:00,,70 469,48.8121509,9.1689266,Face 2 Face,"Kontaktstelle Anonyme Alkoholiker,Stuttgarter Str 10.",prosecuted.amplification.showings,Monday,False,False,False,False,,,,11972,,,0,,,England,Alcoholics Anonymous,AA,True
2597ae13-11cc-51a7-a955-39d57af8b6f4,Turkey Kusadasi International,19:00,,09 400,52.5595149,19.6480092,Salt Box Restaurant,"Cumhuriyet,Burc Sk. Kusadasi,Aydin.",veal.occupy.divides,Tuesday,False,False,False,False,,,Summer April to November 7pm to 8pm/Winter November to April 6pm to 7pm.,13336,,,0,,,England,Alcoholics Anonymous,AA,True
bc9359ce-6ceb-5c96-842d-664eb0278e33,Turkey Kusadasi International,19:00,,09 400,52.5595149,19.6480092,Salt Box Restaurant,"Cumhuriyet,Burc Sk. Kusadasi,Aydin.",veal.occupy.divides,Friday,False,False,False,False,,,Summer April to November 7pm to 8pm/Winter November to April 6pm to 7pm.,13337,,,0,,,England,Alcoholics Anonymous,AA,True
4e052c82-dc61-5efd-a3bc-779f54f0e17f,Vilnius The Old Town Groups Of AA,18:30,,01 122,1.0001659,121.9957303,Daukanto A. 1,Daukanto A. 1.,considerable.inhibitor.plantations,Tuesday,False,True,False,False,,,,12040,,,0,,,England,Alcoholics Anonymous,AA,True
1af13d7c-b5b9-5936-bb64-95f354b93a5b,Wiesbaden AKOF Big Book Study Hybrid,19:00,,65 991,50.0870878,8.2666653,Ev. Versuhnungsgemeinde,"Germeindezentrum,44 Kirchbachstrasse.",bleak.bleach.football,Wednesday,False,False,False,False,,,Zoom Meeting ID 654 1216 071 Passcode Family1,13207,,,0,,,England,Alcoholics Anonymous,AA,True
c2950d3c-8acd-5493-a39d-5c3b92a1a0cd,Wiesbaden AKOF Literature Hybrid,18:00,,65 191,51.9424561,15.5215959,Ev. Versuhnungsgemeinde,"Germeindezentrum,44 Kirchbachstrasse.",sizes.crispy.glove,Friday,False,False,False,True,Last Friday of each month 'open' speaker meeting.,,Zoom Meeting ID 654 1216 071 Passcode Family1,13618,,,0,,,England,Alcoholics Anonymous,AA,True
eae288d1-25c5-5143-873a-f50ceecb27bf,Zurich 11Th Step (Hybrid),19:00,1 hr,8037,47.395226,8.5216392,Rosengartenstrasse 1,8037 Zurich,rafters.requires.zone,Tuesday,False,False,False,True,All meetings 'open'.,,Online details: Zoom Meeting link: https://zoom.us/j/178537287Zoom ID: 178537287. No password required.,13242,,,0,,,England,Alcoholics Anonymous,AA,True
