Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Region,Area,Country,Type
ed78d3c3-2c4f-5edc-bc36-023040552892,Mill Hill As Bill Sees It Physical & Online,12:30,1hr 30mins,NW7 2JB,51.614547,-0.245346,Sacred Heart Church,"2 Flower Lane,Mill Hill",town.frock.ship,Wednesday,False,True,False,True,1st Wed each month 'open'.,,"Separate online meeting - Meeting ID: 834 126 788
Password: 741404",,,England,Alcoholics Anonymous
11bc7b71-695f-5c2a-8ee8-e38f0866d5af,Mill Hill Keep It Simple,12:30,1hr 30mins,NW7 2JB,51.614547,-0.245346,Sacred Heart Church,"2 Flower Lane,Mill Hill",town.frock.ship,Thursday,False,True,True,True,All mtgs 'open'.,,,,,England,Alcoholics Anonymous
75b0328a-330c-5fef-85ea-f2eb0b76a395,Peterborough Cos Nowego Polish,18:00,2hrs,PE3 6LU,52.570899,-0.28537,Longthorpe Village Hall,295 Thorpe Rd,useful.caked.suffice,Saturday,False,True,False,True,All mtgs 'open'.,,,,,England,Alcoholics Anonymous
1237124c-b85e-5e98-a7a4-3b0b8b861b81,Rhodes Town,10:30,,,37.9919459,23.772459,Old Hospital,"Queen Olga,Red Cross St 3,Rhodes 85100 (Erithro Stavro)",stencil.plodded.cheaper,Saturday,False,False,False,False,,,This meeting is through the summer only from 15th April til 15th November.,,,England,Alcoholics Anonymous
73763b13-2f58-5737-8a38-0d74d5808553,Rochdale Zrodio Zycia Polish Speaking,18:30,1hr 30mins,OL11 4LZ,53.606502,-2.167505,Polish Catholic Centre,365 Manchester Rd,events.value.tribune,Sunday,False,False,True,True,All mtgs 'open'.,,Chit system available.,,,England,Alcoholics Anonymous
8b4fc4ef-2219-5f22-b743-29f7533e136a,Scunthorpe Wybudzeni Polish Speaking,16:00,2hrs,DN15 6QX,53.590863,-0.644898,1 Printers Yard,Fenton St (Before The Entrance To The Bus Stn),league.stroke.with,Wednesday,False,False,True,True,All mtgs 'open',,Chit system available.,,,England,Alcoholics Anonymous
35f888d8-d719-5db9-b336-e5d71858f245,Yardley Wood Step & Tradition Hybrid,19:30,1hr 30mins,B14 4QA,52.412206,-1.870612,Warstock Community Centre (Small Room),"1 Daisy Farm Rd,Yardley Wood",bumpy.will.pine,Tuesday,False,True,False,True,'Open' mtgs on request.,,Live and zoom from the room. Zoom Id: 397 971 0439 Password: 1974,Birmingham,Midlands,England,Alcoholics Anonymous
7c352692-9acc-52b6-b721-ac1e7c96859c,"Blackpool Hope, Faith & Gratitude",13:30,1hr,FY2 0HH,53.848487,-3.038463,Bispham & District Community Centre,Bispham Rd,salt.smug.short,Monday,False,True,False,True,All mtgs 'open'.,,,"Blackpool, Fylde and Wyre",North West,England,Alcoholics Anonymous
ddf6c4cb-8cb8-5f6b-b336-0f4b383d6c10,Blackpool Step & Solution,14:00,1hr 30mins,FY4 1JF,53.789892,-3.047792,Mandus House,476 Lytham Rd,fleet.closet.crass,Thursday,False,True,False,False,,,,"Blackpool, Fylde and Wyre",North West,England,Alcoholics Anonymous
36ee5b5c-49f8-5dc8-8650-dadbc7e9879e,Blackpool Womens Book Study & Share,19:00,1hr,FY4 1JF,53.789892,-3.047792,Mandus House,476 Lytham Rd,fleet.closet.crass,Sunday,False,True,False,False,,,,"Blackpool, Fylde and Wyre",North West,England,Alcoholics Anonymous
7605d22a-dd2e-5589-8859-41c3ef988ab5,Joe & Charlie Speaker Tapes,19:45,1hr 15mins,BH7 6RU,50.738074,-1.81381,United Reform Church,"Ropley Rd,Boscombe East",empty.blame.cuts,Tuesday,False,False,False,False,,,,Bournemouth District,South West,England,Alcoholics Anonymous
5b053e2b-b585-5fbe-89a5-f172fb89b6f0,Hove Salvation Army Big Book,14:00,1hr,BN3 3LA,50.835507,-0.17613,Salvation Army,Conway St,needed.pipe.whites,Monday,False,True,True,False,,,Chit system available.,Brighton Area,South East,England,Alcoholics Anonymous
317537fa-7edb-5950-806b-fc7145a38a0b,Bristol Stockwood Mid-Week Candlelit,19:30,1hr,BS14 8SP,51.410337,-2.545108,Christ The Servant Church,"Stockwood Rd,Stockwood",bills.brain.crowned,Wednesday,False,True,False,True,All mtgs 'open'.,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
94846369-4b69-5cd6-a7e9-43b143c9323f,Bristol Tower Hill Discussion,19:00,1hr,BS2 9DB,51.457992,-2.582709,Friends Meeting House,"Champion Sq,St Pauls",hints.brief.corner,Wednesday,False,True,False,False,,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
8e7f17d4-852c-5334-b8ce-61eed92111a5,Thornbury,19:30,1hr,BS35 2AQ,51.608517,-2.526252,Thornbury Methodist Church Hall,4 High St,being.forensic.mornings,Friday,False,True,False,True,Last Fri each mnth 'open'.,,/,Bristol and District,South Midlands,England,Alcoholics Anonymous
8b000098-c1ea-5022-aa22-a5817cc2ffed,Stockport Newcomers,19:30,1hr 30mins,SK3 8EB,53.398329,-2.161918,Kimberley Street Day Centre,Kimberley St,breed.path.option,Tuesday,False,True,False,True,1st Tues each month 'open'.,,,Cheshire East,North West,England,Alcoholics Anonymous
afe9119d-e84f-535a-95ef-237550954f52,Warrington Pathways,12:15,1hr 30mins,WA1 1DE,53.386747,-2.595863,Pathways (CGL),14 Bold St,scouts.burn.outer,Wednesday,False,True,False,True,All mtgs 'open'.,,,Cheshire East,North West,England,Alcoholics Anonymous
9d335a84-bc03-5d70-b884-956f347f2bb8,Frieth Parmoor Step 3 & 11 Meditation,18:00,1hr,RG9 6LJ,51.627082,-0.945411,Northend Village Hall,Henley-On-Thames,ballroom.receiving.crusted,Sunday,False,True,False,False,,,,Chiltern and Thames,South Midlands,England,Alcoholics Anonymous
f514a6c1-d4af-5cf5-835f-918d7cd1bf00,Hambleden Men's,19:00,1hr 30mins,RG9 6RP,51.572224,-0.869738,Hambleden Village Hall,Hambleden,admires.sprinkler.insects,Wednesday,False,False,True,False,,,Chit system available.,Chiltern and Thames,South Midlands,England,Alcoholics Anonymous
7fcedb87-ede7-58b4-8c33-ed79bc60d467,High Wycombe As Bill Sees It,19:15,1hr,HP11 1BJ,51.626912,-0.742416,Trinity United Reformed Church,London Rd,basis.copper.indoor,Saturday,False,True,False,True,All mtgs 'open'.,,,Chiltern and Thames,South Midlands,England,Alcoholics Anonymous
0b486073-b9b5-5310-99da-89ba12f1209a,High Wycombe Bill's Place Newcomers Hybrid,18:30,1hr,HP11 2RZ,51.633178,-0.760911,Oasis House,George St,robots.jumps.debate,Monday,False,True,False,True,All mtgs 'open'.,,Zoom meeting ID: 8386 196 805. No password required.,Chiltern and Thames,South Midlands,England,Alcoholics Anonymous
9d715de1-81df-5176-93ca-4606e38b3663,Marlow Big Book,10:00,1hr,SL7 1NQ,51.56893,-0.772171,Pugin Rooms,"St Peter's Church,St Peter's St",lighters.pizzas.latitudes,Saturday,False,True,False,False,,,,Chiltern and Thames,South Midlands,England,Alcoholics Anonymous
278d13c6-0155-5063-98f3-fd4601a1b117,Princes Risborough,20:00,1hr 15mins,HP27 0DH,51.721237,-0.834073,Princes Risborough Methodist Church,Wycombe Rd/Bell St,twinkling.hints.solve,Monday,False,True,False,True,All mtgs 'open'.,,,Chiltern and Thames,South Midlands,England,Alcoholics Anonymous
584017c2-54da-5314-a728-2ed21420046e,Hoxton Big Book Step Hybrid,19:30,1hr,N1 5LF,51.53376,-0.082407,St Anne's Community Hall,"Hemsworth St,Whitmore Est",awake.fans.phones,Friday,False,True,False,False,,,Zoom meeting ID: 115227352 Password: HBBSOnline,City Of London,London (North),England,Alcoholics Anonymous
fdc18e7c-ac60-54ef-932e-2873cc261b9d,Penryn,19:30,1hr 30mins,TR10 8EH,50.168433,-5.104624,Penryn Methodist Church,"2Nd Door,Upstairs,The Terrace",cringe.guardian.motored,Tuesday,False,False,True,True,'Open' mtgs on request.,,Chit system available.,Cornwall,South West,England,Alcoholics Anonymous
1e279935-fd72-5300-9d58-264148341482,Crediton Step,19:30,1hr 15mins,EX17 3LB,50.791077,-3.662874,Crediton Congregational Church,High St (Hall At Back Of Church Access Through Side Lane),rooms.slid.euphoric,Tuesday,False,True,False,True,First Tues each month 'open'.,,Doors open 19.15.,Devon Central,South West,England,Alcoholics Anonymous
454e02e0-8894-5a2b-97f0-1c1fed157283,Cockfield Courage To Change,19:30,1hr 30mins,DL13 5DL,54.612679,-1.80709,Lipscomb Hall,Cockfield,sedative.poem.deprives,Thursday,False,True,True,True,Open mtgs on request.,,,Durham and Cleveland,North East,England,Alcoholics Anonymous
aadc1f92-6868-5c20-af82-6fa81493fe58,Dover New Beginnings,19:00,1hr 15mins,CT16 2PU,51.133602,1.306359,St Peter & St Pauls Church Hall,St Alphege Rd,cake.season.tables,Friday,True,True,True,True,All mtgs 'open'.,,Doors open 18.30. Chit system available.,East Kent,South East,England,Alcoholics Anonymous
9a30a26c-64d8-546d-aa33-8a1c5c485aa0,Bolton Victoria Hall,19:30,1hr 30mins,BL1 2AS,53.580638,-2.430827,Bolton Victoria Hall Methodist Church,37 Knowsley St,venues.outfit.retire,Sunday,False,False,False,False,,,Step mtg held on 1st Sunday of every month.,East Lancs,North West,England,Alcoholics Anonymous
9f73f2b5-19ce-5873-a911-884e81993109,Chingford,20:00,,E4 7BJ,51.631162,0.00361,North Chingford Methodist Church,Station Rd (Opposite Budgen's).,shot.than.trendy,Thursday,False,False,False,True,Last Thur each mnth 'open'.,,,East London,London (North),England,Alcoholics Anonymous
460c6bdf-3e1b-5a6a-aa33-c25521872058,Hackney Wick Mens Newcomer,17:00,1hr,E9 5JH,51.547667,-0.028314,The Eastway Baths,"80 Eastway,Hackney Wick",noses.maps.yoga,Saturday,False,False,False,False,,,Please look for the AA signs when you arrive at the building.,East London,London (North),England,Alcoholics Anonymous
87cf36e8-624c-57c0-927c-27d0d1b57f6c,Poplar Nadzieja (Hope) Polish Spoken,20:00,1hr,E14 6EZ,51.511898,-0.021053,The Venue Next To The Church Of St Josef & Mary,Entrance From Canton St,tummy.sobs.leans,Friday,False,False,True,True,All mtgs 'open'.,,Chit system available.,East London,London (North),England,Alcoholics Anonymous
9b8290b2-4d33-552f-b378-cb551f4c8126,Walthamstow Feelings,11:00,2hrs,E17 9LG,51.581622,-0.010087,CGL,1 Beulah Rd,people.assume.dish,Sunday,False,True,False,True,All meetings 'open'.,,,East London,London (North),England,Alcoholics Anonymous
80be2003-9e4a-59b3-866b-9b111eb2ba4e,Southend Lunchtime Daily Reprieve,13:00,1hr 30mins,SS0 9PE,51.545685,0.685281,Westcliff Free Church,"635 London Rd,Westcliff-On-Sea",penny.icons.having,Friday,False,True,False,True,All mtgs 'open'.,,Last Friday each month will be a Traditions mtg.,Essex,Eastern,England,Alcoholics Anonymous
df209dc2-67bb-5b4e-b7cd-778d6f743213,Glasgow Dromader Polish Speaking,19:00,2hrs,G81 1BL,55.90173,-4.405902,New Beginning Rooms,45B Kilbowie Rd,needed.spring.shovels,Saturday,False,False,False,False,,,,Glasgow North West,Glasgow,England,Alcoholics Anonymous
bae4d3a0-4c83-5a93-ab84-f33910501221,Hull Big Book,19:30,1hr 30mins,HU9 1TL,53.741269,-0.32392,Victoria Dock Village Hall & Community Centre,"South Bridge Rd,Victoria Dock",range.useful.monday,Sunday,False,True,False,True,All mtgs 'open'.,,,Hull and East Riding,North East,England,Alcoholics Anonymous
f38027eb-4ac5-5ce7-a19e-56c03b8ca7c3,Boston Sobriety & Beyond,19:30,1hr,PE21 8HD,52.978151,-0.039684,Zion Methodist Church,Brothertoft Rd,orange.shorts.trials,Thursday,False,True,False,False,,,,Lincolnshire,Midlands,England,Alcoholics Anonymous
59842f42-4352-5fb4-86e3-4fb7a9f08419,Liverpool St Faiths,19:30,1hr 30mins,L23 4RE,53.4810929,-3.0226544,St Faiths Church,"Crosby Rd N,Waterloo",tinsel.translated.shack,Wednesday,False,False,False,False,,,,Liverpool City,North West,England,Alcoholics Anonymous
3862b5ae-c47d-56e6-b1e4-f0dd90065e0a,Knightsbridge Kinnerton St,19:00,1hr,SW1X 8ER,51.501874,-0.156974,St Paul's Church Hall,77 Kinnerton St,gums.moons.chose,Wednesday,False,False,False,True,All mtgs 'open'.,,,London Chelsea,London (North),England,Alcoholics Anonymous
8c23fddd-4516-5b04-a10d-1d9b715e38ef,Sober Smiles - Newcomers,19:00,1hr,N14 4HE,51.645138,-0.138634,Christ The King Church (Small Hall),29 Bramley Rd,horses.cave.nerve,Tuesday,False,True,True,True,All mtgs 'open'.,,,London North,London (North),England,Alcoholics Anonymous
51bf972f-28bb-54dc-86e5-4837f0b4e9c3,Archway Sobriety Unlimited Step,20:00,,N19 3TD,51.566023,-0.134511,Archway Methodist Church,"Archway Close,(Opposite",suffice.pulled.region,Monday,False,False,False,True,All mtgs 'open'.,,,London North East,London (North),England,Alcoholics Anonymous
a78cebca-5a2e-59b7-8c93-4985d40b706c,Willesden,17:00,1hr 30mins,NW10 9SU,51.547395,-0.246945,97 Cobbold Rd,Willesden,healthier.gloves.game,Monday,False,True,False,False,,,No meetings held on bank holidays.,London North West,London (North),England,Alcoholics Anonymous
46b0532a-a7e3-5344-9225-d9bf85626907,Lewisham Discussion Physical & Online,11:45,1hr,SE13 7UW,51.456304,-0.015759,St Mary's Community Centre,Ladywell Rd,pops.chips.potato,Wednesday,False,False,False,False,,,Zoom ID: 87525851176  Passcode: 357365,London South East (East),London (South),England,Alcoholics Anonymous
697901c7-ab56-53a0-ac4d-465f31f6ae54,Kew As Bill Sees It,12:30,1hr,TW9 3HB,51.479623,-0.284857,Our Lady Of Loreto & St Winefride's Church Hall,"(Left Of Church),1 Leyborne Park",always.lung.punt,Friday,False,True,False,False,,,Meetings are held on Bank Holidays.,London South West,London (South),England,Alcoholics Anonymous
f4d83ac4-4e25-51c1-ab7a-aad7d31b71df,Notting Hill Womens Topic (Candlelit),17:00,1hr,W2 5DJ,51.516481,-0.197803,St Mary Of The Angels Church,2 Moorehouse Rd,laptop.hurry.homes,Sunday,False,False,False,False,,,,London Westway,London (North),England,Alcoholics Anonymous
25f913eb-268d-5aa2-ae6c-821a297858d2,Altrincham (Formerly The Priory),11:00,1hr 30mins,WA14 4NX,53.38868,-2.352024,The Small School Rm,"Unitarian Chapel,Sylvan Grove",codes.votes.voice,Saturday,False,False,False,False,,,,Manchester,North West,England,Alcoholics Anonymous
3edb2ed3-b412-5945-809a-fde7c364fee2,Eccles,19:00,1hr 30mins,M30 0LU,53.483171,-2.341051,Salvation Army,Church St (Entrance Is To The Side Door),detect.moons.award,Tuesday,False,True,False,False,,,Refreshments available with a car park at the rear face masks are not compulsory but we do supply hand sanitizer and track & trace.,Manchester,North West,England,Alcoholics Anonymous
5ff88ab5-c87e-5187-a162-6d2eb6fa2bdc,Guildford Discussion,20:00,1hr,GU2 4BS,51.232364,-0.578905,United Reformed Church,83 Portsmouth Rd,sing.soup.blaze,Saturday,False,True,False,True,1st Sat each mnth 'open'.,,,Mid Surrey,South East,England,Alcoholics Anonymous
b08f6ed4-c06a-5aed-a2c8-77413c027d5b,Hang Tight Men's Meeting,19:30,1hr,GU14 7AP,51.292232,-0.749691,St Peters Church - Parish Centre (Side Door,"Via Church Pathway Through Arch),60 Church Ave",deriving.bedding.skim,Wednesday,False,True,False,False,,,,Mid Surrey,South East,England,Alcoholics Anonymous
33c46ca7-190d-5f0a-94f5-66e5103d3bfd,Redhill Big Book,12:30,1hr,RH1 2BX,51.247955,-0.170707,Holy Trinity Church,Carlton Rd,trendy.prone.power,Wednesday,False,True,False,True,'Open' mtgs on request.,,,North East Surrey,South East,England,Alcoholics Anonymous
a158d242-9d92-51b0-afd5-409938aa299e,Bedford Przyjaciele Billa W Polish Speaking,20:15,1hr,MK40 3JD,52.137445,-0.46356,Sacred Heart Of Jesus Church,120 Mill St,wacky.gained.topped,Friday,False,False,False,False,,,,North Herts and North Beds,Eastern,England,Alcoholics Anonymous
0f509b86-b686-53b5-be4c-873a4ce63e0a,Royston,19:00,1hr,SG8 7AU,52.053453,-0.022456,Methodist Church,Queens Rd,bottom.paintings.migrate,Sunday,False,True,False,True,1st Sunday each month 'open'.,,,North Herts and North Beds,Eastern,England,Alcoholics Anonymous
