Guid,Title,Time,Duration,Postcode,Latitude,Longitude,Venue,Address,What3Words,Day,Hearing,Wheelchair,Chit,Open,OpenFormat,Format,Note,Region,Area,Country,Type
0199251f-d8e9-51f0-ac21-b7556523ff26,Bournemouth Big Book Step,19:00,1hr,BH4 9AE,50.722419,-1.903843,Our Lady Immaculate Church Hall,"33 Seamoor Rd,Westbourne",nest.blur.patrol,Friday,False,False,False,False,,,"The group go for dinner after the meeting at a local affordable restaurant, all are welcome.",,,England,Alcoholics Anonymous
f4f6a83b-21a7-5bf6-b5a2-cbbd96bd24ec,Mill Hill Lunchtime,12:30,1hr 30mins,NW7 2JB,51.614547,-0.245346,Sacred Heart Church,"2 Flower Lane,Mill Hill",town.frock.ship,Thursday,False,False,False,False,,,,,,England,Alcoholics Anonymous
13a5d4c7-b20a-5004-9f9d-78cd9b961d2d,Rhodes Town,10:30,,,36.4340533,28.2176379,Old Hospital,"Queen Olga,Red Cross St 3,Rhodes 85100 (Erithro Stavro)",chains.musician.cherry,Saturday,False,False,False,False,,,This meeting is through the summer only from 15th April til 15th November.,,,England,Alcoholics Anonymous
3b6b790f-a6f8-5a60-ab57-6464195bb044,Stepps ODAAT,20:00,1hr 45mins,G33 6FH,55.893954,-4.140062,Stepps Cultural Centre,10 Blenheim Ave,tummy.bunny.orange,Monday,False,True,False,True,All mtgs 'open'.,,No meeting held on any Bank Holiday Monday.,,,England,Alcoholics Anonymous
8909d2ff-5d02-54e8-a65f-d6cece0e3bbe,Sutton Coldfield,20:00,1hr 30mins,B74 2NU,52.570359,-1.8232,Holy Trinity RC Church,69 Lichfield Rd,bend.asset.shield,Sunday,False,True,False,True,'Open' mtgs on request.,,Step and Tradition Meeting 1st Sunday of every month (corresponding to the 12 steps i.e. January = Step 1),Birmingham,Midlands,England,Alcoholics Anonymous
13339d3a-8034-51bd-ac51-e53eba44d497,Blackpool Sunday Lunch Physical & Online,12:30,1hr 30mins,FY4 2JF,53.786116,-3.043323,The Hub,120 Highfield Rd,plays.drops.smart,Sunday,False,True,True,True,All mtgs 'open'.,,Mtg also on Zoom ID: 811 9501 0122.Contact email:blackpoolsundaylunch@outlook.com Members in room are not visible online.,"Blackpool, Fylde and Wyre",North West,England,Alcoholics Anonymous
26f27341-3f7c-54b7-8970-db4dd5eb5f8b,Bournemouth Big Book Study,12:30,1hr 15mins,BH9 1DW,50.738154,-1.865421,St Albans Church,21 Linwood Rd  (Entrance Via Fitzharris Ave),hype.digits.divisions,Wednesday,False,True,False,False,,,,Bournemouth District,South West,England,Alcoholics Anonymous
793cc308-8ab0-5e5f-9a11-6d2a696f35eb,Brighton Live & Let Live Step & Tradition,19:30,1hr 30mins,BN1 1EA,50.822634,-0.13946,Chapel Royal,164 North St,lifts.pokers.clip,Tuesday,False,False,True,False,,,Chit system available.,Brighton Area,South East,England,Alcoholics Anonymous
e92cb5ab-87b9-5f25-9dd3-5e9ab85c514e,Saltdean Lido Newcomers,12:30,1hr,BN2 8SP,50.801792,-0.04198,The Club Room,"Saltdean Lido,Saltdean Park Rd",ideals.timed.cake,Friday,False,True,False,True,Allmtgs 'open'.,,,Brighton Area,South East,England,Alcoholics Anonymous
fe8c5a35-961f-52ca-ab9c-330fd974e46e,Bristol Mens - The Dog House,18:00,1hr,BS8 1NU,51.458581,-2.608394,Victoria Methodist Church,1A Whiteladies Rd,stand.saves.hobby,Monday,False,True,False,True,All mtgs 'open'.,,This is a Men's Meeting but all are welcome as per Tradition 3,Bristol and District,South Midlands,England,Alcoholics Anonymous
66088a69-f330-564e-9ef1-c080d8983ddc,Bristol Spirit Of Recovery - LGBTQIA+ And Ally,17:30,1hr,BS3 4EA,51.443145,-2.593443,Windmill Hill City Farm,"Philip St,Bedminster",origin.wink.flags,Saturday,False,False,False,True,All mtgs 'open'.,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
8a9295be-eeb8-5e4c-8112-e3639e048734,Redland Big Book,19:30,1hr,BS6 6JE,51.468728,-2.609035,The Library Room,"Friends Meeting House,126 Hampton Rd,Redland",lawn.remote.second,Tuesday,False,True,False,False,,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
48759f9e-8262-5a22-9050-885a08b68e74,Redland Young & Young At Heart,19:15,1hr,BS6 7HE,51.472561,-2.60534,Redland Parish Church Hall,Redland Green Rd,pops.royal.waddle,Tuesday,False,True,False,True,All mtgs 'open'.,,,Bristol and District,South Midlands,England,Alcoholics Anonymous
846d67af-59b1-50f8-9b64-fa8c2a1e61fd,Altrincham St Ambrose,11:00,1hr 30mins,WA15 0HF,53.369658,-2.317495,St. Ambrose Preparatory School,"Wicker Ln,Hale Barns",member.ambushed.proceeds,Saturday,False,True,False,False,,,,Cheshire East,North West,England,Alcoholics Anonymous
05acd31c-99b4-53a5-a53d-31fe1a7ae4a8,City Big Book Study,12:30,1hr,EC3M 1HS,51.510829,-0.082952,St Margaret Pattens Guild Church,"Rood Ln,Eastcheap",penny.pass.crop,Tuesday,False,False,False,False,,,,City Of London,London (North),England,Alcoholics Anonymous
2a9f7e18-263f-5cc7-8471-63a4f13cedde,City Promises,12:30,1hr,EC3M 1HS,51.510829,-0.082952,St Margaret Pattens Guild Church,"Rood Ln,Eastcheap",penny.pass.crop,Wednesday,False,False,False,False,,,,City Of London,London (North),England,Alcoholics Anonymous
01f7869f-bdea-5e7f-917e-a02fd19ea17c,Launceston,19:00,1hr,PL15 9DQ,50.630632,-4.358868,Launceston Childrens Centre,"The Lodge,Coronation Park",huddling.hoops.splendid,Tuesday,False,True,False,True,'Open' mtgs on request.,,,Cornwall,South West,England,Alcoholics Anonymous
78980543-249f-5629-8d41-f706a168b8b4,Leamington Spa,20:00,1hr 30mins,CV32 5AA,52.28817,-1.535809,St Peter's Church Hall,3A Dormer Pl,cling.vivid.yappy,Thursday,False,True,True,False,,,,Coventry and Warwickshire,Midlands,England,Alcoholics Anonymous
f7927692-5fd2-581a-998d-d6bdd8fc3117,Bideford,19:30,1hr 30mins,EX39 2AA,51.017921,-4.206073,Old Post Office,74A High St,timing.menswear.contexts,Thursday,False,False,False,True,Last Thurs each month 'open'.,,,Devon Central,South West,England,Alcoholics Anonymous
caccae3f-5223-5ef0-a36d-b24b51e237ea,Durham Multi-Mtg,19:30,1hr,DH1 4DU,54.772261,-1.591991,St Johns Church,"Crossgate Peth, Nevilles Cross",salads.unable.atomic,Monday,False,False,False,True,1st Mon each month 'open'.,,,Durham and Cleveland,North East,England,Alcoholics Anonymous
42bad6eb-88b8-5815-acbe-7e0016e43ad8,Durham Multi-Mtg,19:30,1hr,DH1 4PR,54.776212,-1.580334,Antioch House (Opp St. Margarets Church),66 Crossgate,notes.tried.lived,Friday,False,False,False,True,1st Fri each month 'open'.,,,Durham and Cleveland,North East,England,Alcoholics Anonymous
19d3fdaa-dc54-58ea-84eb-ad88b58cee87,Durham Multi-Mtg,12:15,1hr,DH1 4SQ,54.777058,-1.580636,Shakespeare Hall (Green Door- Above Parkins Clothing),"Durham Community Association,North Rd",lion.energy.blows,Wednesday,False,False,False,True,1st Wed each month 'open'.,,,Durham and Cleveland,North East,England,Alcoholics Anonymous
22935e59-6e35-5f4d-a92d-d2131e053119,Middlesbrough Coulby Newham As Bill Sees It,18:30,1hr,TS8 0TF,54.529385,-1.216933,Community Centre,"Langdon Sq,Coulby Newham (Meeting Is Held In The Room Upstairs)",improvise.rosier.trap,Wednesday,False,False,True,False,,,Chit system available.,Durham and Cleveland,North East,England,Alcoholics Anonymous
6e58a39c-62b2-51e3-886b-0b5a002c6b7e,Buntingford Candlelit,19:00,1hr 30mins,SG9 9SG,51.942292,-0.023406,Seth Ward Community Centre,Seth Ward Community Centre,owned.interval.bunks,Tuesday,False,True,False,False,,,,East Herts or West Essex,Eastern,England,Alcoholics Anonymous
dde6ee2d-18ff-5db9-9aa1-ae964c9ff6ae,Harlow As Bill Sees It,11:00,1hr 30mins,CM20 3AF,51.775116,0.1127,St Andrews Methodist Church,The Stow,found.forced.badly,Saturday,False,False,False,True,All mtgs 'open'.,,"No parking in the church car park available, there are public car parks available within a short walking distance.",East Herts or West Essex,Eastern,England,Alcoholics Anonymous
e4131820-f81b-54b5-ae45-ce5c786ecd18,Ashford Step Workshop,07:15,1hr,TN23 3JJ,51.153592,0.847436,Godington Village Hall,Loudon Way,staple.pets.sugar,Saturday,False,True,False,True,All mtgs 'open'.,,,East Kent,South East,England,Alcoholics Anonymous
919c3312-9924-5827-95f6-b7e0d853c1f8,Birchington Step & Tradition,20:00,1hr 30mins,CT7 9PB,51.3736097,1.3084853,Methodist Church Hall,Canterbury Road.,pinks.dragonfly.suggested,Thursday,False,True,False,False,,,,East Kent,South East,England,Alcoholics Anonymous
01742f5b-eb34-5aad-92b6-3065a4b4b249,Faversham Road To Recovery,20:00,1hr 15mins,ME10 4PB,51.340207,0.735773,Sittingbourne Methodist Church Centre,Grafton Rd,vibes.parent.ears,Tuesday,False,True,False,True,All mtgs 'open'.,,Doors open at 19.00.,East Kent,South East,England,Alcoholics Anonymous
fb586b9f-bcdc-5844-a380-7522adb1302e,Todmorden,19:30,1hr 30mins,OL14 7LD,53.712226,-2.099201,The Kindness Hub,36 Rochdale Rd,voucher.gobblers.intruders,Monday,False,True,False,False,,,,East Lancs,North West,England,Alcoholics Anonymous
3402ccea-afde-5977-9a79-43b19a525bfe,Whalley Language Of The Heart,19:30,1hr 30mins,BB7 9TD,53.820913,-2.404916,Whalley Village Hall,"Accrington Rd,Whalley",wasps.hindering.nags,Friday,False,False,False,True,All mtgs 'open'.,,,East Lancs,North West,England,Alcoholics Anonymous
9f73f2b5-19ce-5873-a911-884e81993109,Chingford,20:00,1hr 30mins,E4 7BJ,51.631162,0.00361,1 Station Rd (1St Floor Of Big Glass Windowed Building,Next To Car Park),shot.than.trendy,Thursday,False,False,False,True,Last Thur each mnth 'open'.,,,East London,London (North),England,Alcoholics Anonymous
a6caa716-cb41-57ab-ae6c-7cb1fb90594f,East Ham,19:00,1hr,E6 2SG,51.530837,0.061822,Bobby Moore Pavilion,Napier Rd,mason.apron.glad,Wednesday,False,True,False,False,,,,East London,London (North),England,Alcoholics Anonymous
1593c2a0-126f-5b5c-9a13-116ad1ecda5a,Newhaven,19:15,1hr 15mins,BN9 9LH,50.791432,0.049091,Hillcrest Community Centre,Bay Vue Rd,flaking.baking.precluded,Thursday,False,True,False,False,,,Plenty of free parking.,East Sussex,South East,England,Alcoholics Anonymous
53a95cfc-b4c2-5cb6-89f2-1810b2bf006b,Leigh-On-Sea Living Sober,13:00,1hr 30mins,SS9 1ND,51.545141,0.664954,9 Lord Roberts Ave,9 Lord Roberts Ave,ended.change.zones,Friday,False,True,False,True,All mtgs 'open'.,,,Essex,Eastern,England,Alcoholics Anonymous
4578d733-8936-5bec-b890-ce30d358f087,Rayleigh Recovery,18:30,1hr 30mins,SS6 7HP,51.589501,0.606606,Bethenay Rm,"Our Lady Of Ransom RC Church,50 London Hill",hoping.cried.trash,Thursday,False,True,False,True,'Open' mtgs on request.,,,Essex,Eastern,England,Alcoholics Anonymous
af5c8eb5-8549-57c8-9054-92cbc0551610,Cambridge As Bill Sees It,20:00,1hr,CB1 2FX,52.195297,0.135758,George Pateman Court Community Room,"George Pateman Court,Tennison Rd",join.soap.fonts,Saturday,False,True,False,False,,,,Fenland,Eastern,England,Alcoholics Anonymous
ee4753bf-9731-56f3-ad19-fd8e54a23059,Ramsey,19:30,1hr 30mins,PE26 1BX,52.449095,-0.103186,1St Ramsey Scout Hut,"Little Whyte,Ramsey",arrival.usage.promising,Friday,False,False,False,False,,,"On the corner of Church Green and Little Whyte.  What three words: couch,craftsman,educated",Fenland,Eastern,England,Alcoholics Anonymous
e2ef7705-c8e3-5788-82bf-e70187489461,Rickmansworth Womens,19:30,1hr,WD3 1EH,51.639161,-0.468044,Rickmansworth Baptist Church,High St,pumps.fend.clips,Monday,False,False,False,False,,,,Lea Valley,Eastern,England,Alcoholics Anonymous
