Type,Country,Total,LastUpdated
AA,England,3233,2023-05-16
AA,Scotland,582,2023-05-16
AA,Wales,140,2023-05-16
AA,Northern Ireland,284,2023-05-16
AA,Republic of Ireland,1159,2023-05-16
CA,England,561,2023-05-16
CA,Scotland,154,2023-05-16
CA,Wales,16,2023-05-16
CA,Northern Ireland,1,2023-05-16
CA,Republic of Ireland,53,2023-05-16
NA,England,885,2023-05-16
NA,Scotland,50,2023-05-16
NA,Wales,19,2023-05-16
NA,Northern Ireland,31,2023-05-16
NA,Republic of Ireland,206,2023-05-16
OA,England,65,2023-05-16
OA,Scotland,14,2023-05-16
OA,Wales,6,2023-05-16
OA,Northern Ireland,2,2023-05-16
OA,Republic of Ireland,27,2023-05-16
AA,England,3254,2023-06-22
AA,Scotland,587,2023-06-22
AA,Wales,141,2023-06-22
AA,Northern Ireland,290,2023-06-22
AA,Republic of Ireland,1168,2023-06-22
CA,England,562,2023-06-22
CA,Scotland,153,2023-06-22
CA,Wales,17,2023-06-22
CA,Northern Ireland,1,2023-06-22
CA,Republic of Ireland,50,2023-06-22
NA,England,879,2023-06-22
NA,Scotland,50,2023-06-22
NA,Wales,17,2023-06-22
NA,Northern Ireland,33,2023-06-22
NA,Republic of Ireland,208,2023-06-22
OA,England,62,2023-06-22
OA,Scotland,14,2023-06-22
OA,Wales,6,2023-06-22
OA,Northern Ireland,2,2023-06-22
OA,Republic of Ireland,27,2023-06-22
AA,England,3267,2023-07-16
AA,Scotland,586,2023-07-16
AA,Wales,141,2023-07-16
AA,Northern Ireland,290,2023-07-16
AA,Republic of Ireland,1179,2023-07-16
CA,England,571,2023-07-16
CA,Scotland,154,2023-07-16
CA,Wales,19,2023-07-16
CA,Northern Ireland,1,2023-07-16
CA,Republic of Ireland,54,2023-07-16
NA,England,888,2023-07-16
NA,Scotland,52,2023-07-16
NA,Wales,17,2023-07-16
NA,Northern Ireland,34,2023-07-16
NA,Republic of Ireland,208,2023-07-16
OA,England,62,2023-07-16
OA,Scotland,16,2023-07-16
OA,Wales,6,2023-07-16
OA,Northern Ireland,2,2023-07-16
OA,Republic of Ireland,27,2023-07-16
AA,England,3294,2023-08-20
AA,Scotland,593,2023-08-20
AA,Wales,143,2023-08-20
AA,Northern Ireland,293,2023-08-20
AA,Republic of Ireland,1206,2023-08-20
CA,England,569,2023-08-20
CA,Scotland,152,2023-08-20
CA,Wales,19,2023-08-20
CA,Northern Ireland,1,2023-08-20
CA,Republic of Ireland,54,2023-08-20
NA,England,893,2023-08-20
NA,Scotland,52,2023-08-20
NA,Wales,18,2023-08-20
NA,Northern Ireland,34,2023-08-20
NA,Republic of Ireland,208,2023-08-20
OA,England,61,2023-08-20
OA,Scotland,16,2023-08-20
OA,Wales,6,2023-08-20
OA,Northern Ireland,2,2023-08-20
OA,Republic of Ireland,27,2023-08-20
AA,England,3346,2023-09-22
AA,Scotland,606,2023-09-22
AA,Wales,144,2023-09-22
AA,Northern Ireland,297,2023-09-22
AA,Republic of Ireland,1217,2023-09-22
CA,England,570,2023-09-22
CA,Scotland,128,2023-09-22
CA,Wales,20,2023-09-22
CA,Northern Ireland,1,2023-09-22
CA,Republic of Ireland,52,2023-09-22
NA,England,901,2023-09-22
NA,Scotland,51,2023-09-22
